cellosaurus_id,cell_line_name,pubchem_id,drug_name,AUC,tissue
CVCL_0379,Ku812,6914657,Daporinad,0.22083125,Blood
CVCL_1045,22Rv1,6914657,Daporinad,0.3746875,Prostate
CVCL_1082,BEN,6914657,Daporinad,0.3380625,Lung
CVCL_1085,BHT-101,6914657,Daporinad,0.37409375,Thyroid
CVCL_1105,CAL-12T,6914657,Daporinad,0.54121875,Lung
CVCL_1133,COLO 741,6914657,Daporinad,0.42271875,Skin
CVCL_1167,Daoy,6914657,Daporinad,0.306646875,Brain
CVCL_1327,KE-37,6914657,Daporinad,0.13355625,Blood
CVCL_1344,KU-19-19,6914657,Daporinad,0.217646875,Bladder
CVCL_1345,Kuramochi,6914657,Daporinad,0.3140625,Ovary
CVCL_1385,LS411N,6914657,Daporinad,0.194084375,Colon
CVCL_1402,Mel Ho,6914657,Daporinad,0.33140625,Skin
CVCL_1411,MHH-ES-1,6914657,Daporinad,0.111825,Bone
CVCL_1415,MKN1,6914657,Daporinad,0.281284375,Stomach
CVCL_1456,NCI-H1155,6914657,Daporinad,0.172071875,Lung
CVCL_1479,NCI-H1581,6914657,Daporinad,0.32840625,Lung
CVCL_1529,NCI-H211,6914657,Daporinad,0.140421875,Lung
CVCL_1559,NCI-H358,6914657,Daporinad,0.476375,Lung
CVCL_1569,NCI-H526,6914657,Daporinad,,Lung
CVCL_1624,ONS-76,6914657,Daporinad,0.265734375,Brain
CVCL_1626,OS-RC-2,6914657,Daporinad,0.42675,Kidney
CVCL_1651,RERF-LC-Ad1,6914657,Daporinad,0.4184375,Lung
CVCL_1679,SBC-5,6914657,Daporinad,0.3541875,Lung
CVCL_1690,SF295,6914657,Daporinad,0.310825,Brain
CVCL_1760,TE-10,6914657,Daporinad,0.3108375,Esophagus
CVCL_1767,TE-9,6914657,Daporinad,0.263153125,Esophagus
CVCL_1774,TT,6914657,Daporinad,0.2448125,Esophagus
CVCL_2063,HCC827,6914657,Daporinad,0.4485,Lung
CVCL_2094,KPL-1,6914657,Daporinad,0.3338125,Breast
CVCL_3116,OVISE,6914657,Daporinad,0.24829375,Ovary
CVCL_3117,OVTOKO,6914657,Daporinad,0.371375,Ovary
CVCL_5098,SNU-81,6914657,Daporinad,0.49853125,Colon
CVCL_A351,HCC1588,6914657,Daporinad,0.342625,Lung
CVCL_A352,HCC2108,6914657,Daporinad,0.495125,Lung
CVCL_L083,YD-38,6914657,Daporinad,0.358875,Head And Neck
CVCL_3172,SUIT-2,6914657,Daporinad,0.419109375,Pancreas
CVCL_3172,SUIT-2,6914657,Daporinad,0.419109375,Pancreas
CVCL_0547,SW620,6914657,Daporinad,0.268425,Colon
CVCL_0600,SK-MEL-31,6914657,Daporinad,0.47865625,Skin
CVCL_0629,SK-LU-1,6914657,Daporinad,0.45546875,Lung
CVCL_1352,KYSE-410,6914657,Daporinad,0.4314375,Esophagus
CVCL_1515,NCI-H2023,6914657,Daporinad,0.38025,Lung
CVCL_1783,UM-UC-3,6914657,Daporinad,0.33578125,Bladder
CVCL_2891,EBC-1,6914657,Daporinad,0.3933125,Lung
CVCL_4381,HuH-6,6914657,Daporinad,0.27933125,Liver
CVCL_0012,LP-1,6914657,Daporinad,0.292609375,Blood
CVCL_0029,EFO-21,6914657,Daporinad,0.2640625,Ovary
CVCL_0080,A-673,6914657,Daporinad,0.04360625,Bone
CVCL_0099,SNU-1,6914657,Daporinad,0.206090625,Stomach
CVCL_0178,BT-20,6914657,Daporinad,0.4305625,Breast
CVCL_0428,MIA PaCa-2,6914657,Daporinad,0.302665625,Pancreas
CVCL_0533,SK-UT-1,6914657,Daporinad,0.211421875,Soft Tissue
CVCL_0599,SK-MEL-24,6914657,Daporinad,0.375375,Skin
CVCL_0620,MDA-MB-361,6914657,Daporinad,0.55609375,Breast
CVCL_1183,DU4475,6914657,Daporinad,0.10621875,Breast
CVCL_1187,EC-GI-10,6914657,Daporinad,0.205521875,Esophagus
CVCL_1231,GI-1,6914657,Daporinad,0.226925,Brain
CVCL_1254,HCC1500,6914657,Daporinad,0.4525,Breast
CVCL_1287,HSC-2,6914657,Daporinad,0.235778125,Head And Neck
CVCL_1335,KNS-62,6914657,Daporinad,0.4251875,Lung
CVCL_1379,LNCaP clone FGC,6914657,Daporinad,0.32546875,Prostate
CVCL_1454,NCI-H1092,6914657,Daporinad,0.17645625,Lung
CVCL_1455,NCI-H1105,6914657,Daporinad,0.198815625,Lung
CVCL_1539,NCI-H2196,6914657,Daporinad,0.32265625,Lung
CVCL_1633,Panc 02.03,6914657,Daporinad,0.279384375,Pancreas
CVCL_1649,RD,6914657,Daporinad,0.2289,Muscle
CVCL_1700,SK-N-AS,6914657,Daporinad,0.3231875,Nervous System
CVCL_1798,42-MG-BA,6914657,Daporinad,0.16623125,Brain
CVCL_1818,Granta-519,6914657,Daporinad,0.213825,Lymph
CVCL_1847,PaTu 8988t,6914657,Daporinad,0.230828125,Pancreas
CVCL_2209,SUP-M2,6914657,Daporinad,0.44721875,Lymph
CVCL_3004,KP-2,6914657,Daporinad,0.287946875,Pancreas
CVCL_1415,MKN1,6450551,Axitinib,,Stomach
CVCL_2094,KPL-1,6450551,Axitinib,,Breast
CVCL_1045,22Rv1,46224516,UNC0638,0.4083125,Prostate
CVCL_3116,OVISE,9926054,BMS-345541,,Ovary
CVCL_1085,BHT-101,60750,Gemcitabine,0.261415625,Thyroid
CVCL_1402,Mel Ho,5284616,Rapamycin,0.275503125,Skin
CVCL_1569,NCI-H526,60750,Gemcitabine,0.167521875,Lung
CVCL_1651,RERF-LC-Ad1,5284616,Rapamycin,0.43634375,Lung
CVCL_1651,RERF-LC-Ad1,60750,Gemcitabine,0.44359375,Lung
CVCL_1690,SF295,60750,Gemcitabine,0.3706875,Brain
CVCL_1760,TE-10,5284616,Rapamycin,0.34634375,Esophagus
CVCL_1760,TE-10,60750,Gemcitabine,0.3206875,Esophagus
CVCL_1767,TE-9,60750,Gemcitabine,0.2937125,Esophagus
CVCL_2063,HCC827,5284616,Rapamycin,0.37321875,Lung
CVCL_3116,OVISE,46224516,UNC0638,0.48478125,Ovary
CVCL_L083,YD-38,60750,Gemcitabine,0.2381,Head And Neck
CVCL_3116,OVISE,6450551,Axitinib,0.4680625,Ovary
CVCL_0012,LP-1,462382,MG-132,0.336125,Blood
CVCL_0029,EFO-21,462382,MG-132,0.4111875,Ovary
CVCL_0067,Namalwa,462382,MG-132,0.3481875,Lymph
CVCL_0080,A-673,462382,MG-132,0.336125,Bone
CVCL_0099,SNU-1,462382,MG-132,0.373625,Stomach
CVCL_0178,BT-20,462382,MG-132,0.38596875,Breast
CVCL_0428,MIA PaCa-2,462382,MG-132,0.359875,Pancreas
CVCL_1183,DU4475,462382,MG-132,0.32015625,Breast
CVCL_1231,GI-1,462382,MG-132,0.35509375,Brain
CVCL_1254,HCC1500,462382,MG-132,0.3393125,Breast
CVCL_1287,HSC-2,462382,MG-132,0.346125,Head And Neck
CVCL_1379,LNCaP clone FGC,462382,MG-132,0.36059375,Prostate
CVCL_1455,NCI-H1105,462382,MG-132,0.33628125,Lung
CVCL_1539,NCI-H2196,462382,MG-132,0.343625,Lung
CVCL_1633,Panc 02.03,462382,MG-132,0.39303125,Pancreas
CVCL_1700,SK-N-AS,462382,MG-132,0.32896875,Nervous System
CVCL_1754,TE 441.T,462382,MG-132,0.33434375,Muscle
CVCL_1847,PaTu 8988t,462382,MG-132,0.34684375,Pancreas
CVCL_3004,KP-2,462382,MG-132,0.383125,Pancreas
CVCL_0099,SNU-1,11977753,Dactolisib,0.221990625,Stomach
CVCL_1245,HCC1143,11977753,Dactolisib,0.34475,Breast
CVCL_0012,LP-1,11977753,Dactolisib,0.175646875,Blood
CVCL_0029,EFO-21,11977753,Dactolisib,0.3626875,Ovary
CVCL_0067,Namalwa,11977753,Dactolisib,0.228603125,Lymph
CVCL_0080,A-673,11977753,Dactolisib,0.1656,Bone
CVCL_0107,BCP-1,11977753,Dactolisib,0.140278125,Lymph
CVCL_0134,A2780,11977753,Dactolisib,0.2235875,Ovary
CVCL_0178,BT-20,11977753,Dactolisib,0.301853125,Breast
CVCL_0428,MIA PaCa-2,11977753,Dactolisib,0.31375,Pancreas
CVCL_0533,SK-UT-1,11977753,Dactolisib,0.31634375,Soft Tissue
CVCL_0547,SW620,11977753,Dactolisib,0.3318125,Colon
CVCL_0599,SK-MEL-24,11977753,Dactolisib,0.37715625,Skin
CVCL_0600,SK-MEL-31,11977753,Dactolisib,0.41059375,Skin
CVCL_0629,SK-LU-1,11977753,Dactolisib,0.32253125,Lung
CVCL_1183,DU4475,11977753,Dactolisib,0.189825,Breast
CVCL_1187,EC-GI-10,11977753,Dactolisib,0.302240625,Esophagus
CVCL_1231,GI-1,11977753,Dactolisib,0.272925,Brain
CVCL_1254,HCC1500,11977753,Dactolisib,0.2743,Breast
CVCL_1287,HSC-2,11977753,Dactolisib,0.32825,Head And Neck
CVCL_1324,Karpas-299,11977753,Dactolisib,0.23885625,Lymph
CVCL_1335,KNS-62,11977753,Dactolisib,0.3864375,Lung
CVCL_1352,KYSE-410,11977753,Dactolisib,0.275171875,Esophagus
CVCL_1379,LNCaP clone FGC,11977753,Dactolisib,0.20555625,Prostate
CVCL_1454,NCI-H1092,11977753,Dactolisib,0.35746875,Lung
CVCL_1455,NCI-H1105,11977753,Dactolisib,0.2734875,Lung
CVCL_1464,NCI-H1355,11977753,Dactolisib,0.294590625,Lung
CVCL_1515,NCI-H2023,11977753,Dactolisib,0.31878125,Lung
CVCL_1525,NCI-H209,11977753,Dactolisib,0.291871875,Lung
CVCL_1536,NCI-H2171,11977753,Dactolisib,0.3328125,Lung
CVCL_1539,NCI-H2196,11977753,Dactolisib,0.264921875,Lung
CVCL_1545,NCI-H2286,11977753,Dactolisib,0.3180625,Lung
CVCL_1565,NCI-H510A,11977753,Dactolisib,0.35265625,Lung
CVCL_1619,OCI-AML-2,11977753,Dactolisib,0.261003125,Blood
CVCL_1633,Panc 02.03,11977753,Dactolisib,0.4231875,Pancreas
CVCL_1649,RD,11977753,Dactolisib,0.23701875,Muscle
CVCL_1682,SCC-25,11977753,Dactolisib,0.057384375,Head And Neck
CVCL_1700,SK-N-AS,11977753,Dactolisib,0.2795625,Nervous System
CVCL_1754,TE 441.T,11977753,Dactolisib,0.259646875,Muscle
CVCL_1783,UM-UC-3,11977753,Dactolisib,0.3521875,Bladder
CVCL_1798,42-MG-BA,11977753,Dactolisib,0.1547125,Brain
CVCL_1818,Granta-519,11977753,Dactolisib,0.1706625,Lymph
CVCL_1847,PaTu 8988t,11977753,Dactolisib,0.37865625,Pancreas
CVCL_2209,SUP-M2,11977753,Dactolisib,0.163346875,Lymph
CVCL_2891,EBC-1,11977753,Dactolisib,0.24779375,Lung
CVCL_3004,KP-2,11977753,Dactolisib,0.3990625,Pancreas
CVCL_4381,HuH-6,11977753,Dactolisib,0.34471875,Liver
CVCL_0012,LP-1,46224516,UNC0638,0.3828125,Blood
CVCL_0029,EFO-21,46224516,UNC0638,0.5174375,Ovary
CVCL_0067,Namalwa,46224516,UNC0638,0.4875,Lymph
CVCL_0080,A-673,46224516,UNC0638,0.346875,Bone
CVCL_0178,BT-20,46224516,UNC0638,0.4519375,Breast
CVCL_0428,MIA PaCa-2,46224516,UNC0638,0.3933125,Pancreas
CVCL_0533,SK-UT-1,46224516,UNC0638,0.4501875,Soft Tissue
CVCL_0547,SW620,60750,Gemcitabine,,Colon
CVCL_0599,SK-MEL-24,46224516,UNC0638,0.430125,Skin
CVCL_0600,SK-MEL-31,60750,Gemcitabine,,Skin
CVCL_0629,SK-LU-1,60750,Gemcitabine,,Lung
CVCL_1082,BEN,46224516,UNC0638,0.41871875,Lung
CVCL_1085,BHT-101,46224516,UNC0638,0.40915625,Thyroid
CVCL_1133,COLO 741,46224516,UNC0638,0.43046875,Skin
CVCL_1187,EC-GI-10,46224516,UNC0638,0.46875,Esophagus
CVCL_1231,GI-1,46224516,UNC0638,0.372375,Brain
CVCL_1245,HCC1143,46224516,UNC0638,0.440375,Breast
CVCL_1245,HCC1143,60750,Gemcitabine,,Breast
CVCL_1254,HCC1500,46224516,UNC0638,0.37009375,Breast
CVCL_1324,Karpas-299,46224516,UNC0638,0.36221875,Lymph
CVCL_1327,KE-37,46224516,UNC0638,0.388625,Blood
CVCL_1344,KU-19-19,46224516,UNC0638,0.48640625,Bladder
CVCL_1345,Kuramochi,46224516,UNC0638,0.4324375,Ovary
CVCL_1379,LNCaP clone FGC,46224516,UNC0638,0.40071875,Prostate
CVCL_1385,LS411N,46224516,UNC0638,0.42978125,Colon
CVCL_1454,NCI-H1092,46224516,UNC0638,0.4071875,Lung
CVCL_1456,NCI-H1155,46224516,UNC0638,0.49696875,Lung
CVCL_1479,NCI-H1581,46224516,UNC0638,0.45675,Lung
CVCL_1515,NCI-H2023,46224516,UNC0638,0.435125,Lung
CVCL_1515,NCI-H2023,60750,Gemcitabine,,Lung
CVCL_1536,NCI-H2171,46224516,UNC0638,0.3594375,Lung
CVCL_1539,NCI-H2196,46224516,UNC0638,0.50671875,Lung
CVCL_1559,NCI-H358,46224516,UNC0638,0.49809375,Lung
CVCL_1619,OCI-AML-2,46224516,UNC0638,0.37278125,Blood
CVCL_1624,ONS-76,46224516,UNC0638,0.461875,Brain
CVCL_1626,OS-RC-2,46224516,UNC0638,0.46121875,Kidney
CVCL_1649,RD,46224516,UNC0638,0.34140625,Muscle
CVCL_1651,RERF-LC-Ad1,46224516,UNC0638,0.40759375,Lung
CVCL_1700,SK-N-AS,46224516,UNC0638,0.37778125,Nervous System
CVCL_1760,TE-10,46224516,UNC0638,0.435625,Esophagus
CVCL_1783,UM-UC-3,60750,Gemcitabine,,Bladder
CVCL_1818,Granta-519,46224516,UNC0638,0.36059375,Lymph
CVCL_2063,HCC827,46224516,UNC0638,0.44271875,Lung
CVCL_2209,SUP-M2,46224516,UNC0638,0.44015625,Lymph
CVCL_2891,EBC-1,60750,Gemcitabine,,Lung
CVCL_3117,OVTOKO,46224516,UNC0638,0.45084375,Ovary
CVCL_4381,HuH-6,60750,Gemcitabine,,Liver
CVCL_A351,HCC1588,5284616,Rapamycin,0.45253125,Lung
CVCL_0620,MDA-MB-361,11977753,Dactolisib,0.222465625,Breast
CVCL_1651,RERF-LC-Ad1,11228183,ABT-737,0.42396875,Lung
CVCL_1760,TE-10,11228183,ABT-737,0.45378125,Esophagus
CVCL_0029,EFO-21,16720766,Pevonedistat,0.42825,Ovary
CVCL_1187,EC-GI-10,16720766,Pevonedistat,0.44046875,Esophagus
CVCL_2209,SUP-M2,462382,MG-132,0.332125,Lymph
CVCL_0599,SK-MEL-24,462382,MG-132,0.3948125,Skin
CVCL_0533,SK-UT-1,462382,MG-132,0.3724375,Soft Tissue
CVCL_1454,NCI-H1092,462382,MG-132,0.35971875,Lung
CVCL_1649,RD,462382,MG-132,0.36921875,Muscle
