,Symbol
0,chr6:52149149-52149725
1,chr4:1722179-1723850
2,chr17:2206517-2207248
3,chr1:40105010-40105707
4,chr10:102027099-102027490
5,chr16:90014250-90014613
6,chr4:10117575-10118952
7,chr20:25565437-25566547
8,chr11:66383571-66385047
9,chr5:6632740-6634162
10,chr6:144328916-144329847
11,chr11:82612259-82612844
12,chr16:755037-756696
13,chr4:41752280-41752502
14,chr6:146350522-146350780
15,chr18:71958141-71959770
16,chr16:46864453-46865561
17,chr3:44283239-44283838
18,chr6:148663425-148664041
19,chr2:95537196-95537810
20,chr12:107711603-107714107
21,chr12:56546192-56546411
22,chr20:5099993-5100866
23,chr16:31453943-31454561
24,chr2:172949242-172950126
25,chr12:51984474-51985284
26,chr15:90727879-90728570
27,chr7:107301205-107302416
28,chr1:45241013-45241900
29,chr10:105677555-105678040
30,chr14:68066584-68067134
31,chr2:105953744-105954249
32,chr19:18794191-18794819
33,chr19:30156038-30156795
34,chr17:8533004-8534933
35,chr12:40498962-40500017
36,chr1:39456655-39457271
37,chr3:113464437-113465159
38,chr11:125365137-125366319
39,chr4:146857334-146859082
40,chr17:72983621-72984591
41,chr2:99797348-99797623
42,chr20:2852899-2854635
43,chr13:26624725-26626265
44,chr8:104426894-104427823
45,chr3:113666359-113667390
46,chr21:36260450-36263687
47,chr3:11034446-11035384
48,chr9:138852639-138853439
49,chr10:102790820-102791049
50,chr1:44444635-44445622
51,chr1:161494024-161495356
52,chr3:47619112-47621131
53,chr20:10015610-10015914
54,chr1:35325182-35325550
55,chr12:54447744-54448091
56,chr11:86665901-86666567
57,chr11:111385337-111385712
58,chr10:124638743-124639793
59,chr5:150400000-150400490
60,chr5:56204962-56206344
61,chr1:29557220-29557627
62,chr16:30134220-30134488
63,chr15:64454890-64455577
64,chr20:32580799-32582502
65,chr11:113745816-113746693
66,chr16:30076310-30077872
67,chr22:50353596-50357215
68,chr19:46518283-46520080
69,chr3:42641844-42642605
70,chr3:148415442-148415932
71,chr19:30206040-30206497
72,chr7:150725173-150726018
73,chr12:58004982-58005351
74,chr11:119039429-119039944
75,chr18:44496910-44497832
76,chr7:23338797-23339264
77,chr4:145566242-145567413
78,chr11:34378229-34379993
79,chr15:67357339-67359061
